docid,lang,title,snippet
1603592,spanish,,
1621472,spanish,,
1652500,spanish,,
1657558,spanish,,
1684784,spanish,,
1685340,spanish,,
1706604,chinese,,
1723693,spanish,,
1723694,spanish,,
1723984,spanish,,
1732202,chinese,,
1753800,spanish,,
1753803,spanish,,
1767105,spanish,,
1779163,spanish,,
1788948,spanish,,
1794769,spanish,,
1839259,spanish,,
1856948,spanish,,
1857541,spanish,,
1863833,spanish,,
1882294,spanish,,
1883747,spanish,,
1883752,spanish,,
1884408,spanish,,
1902466,spanish,,
1915344,spanish,,
1919355,chinese,,
1924142,,,
1950813,chinese,,
1950814,chinese,,
1952196,spanish,,
1954359,chinese,,
1962613,,,
2023243,chinese,,
2024102,chinese,,
2025744,spanish,,
2027127,spanish,,
2027130,spanish,,
2027132,spanish,,
2037384,chinese,,
2038344,chinese,,
2052783,spanish,,
2061443,spanish,,
2088629,spanish,,
2088630,spanish,,
2088633,spanish,,
2089164,spanish,,
2089166,spanish,,
2089169,chinese,,
2101950,spanish,,
2105400,chinese,,
2107349,spanish,,
2128036,chinese,,
2129876,spanish,,
2131797,chinese,,
2144460,spanish,,
2165993,chinese,,
2165996,chinese,,
2174048,chinese,,
2181860,chinese,,
2190706,,,
2190709,chinese,,
2194281,spanish,,
2205912,,,
2215363,spanish,,
2219490,spanish,,
2221456,spanish,,
2221458,spanish,,
2246878,spanish,,
2246880,spanish,,
2246881,spanish,,
2246882,spanish,,
2246885,spanish,,
2249606,spanish,,
2255046,chinese,,
2257233,spanish,,
2257564,spanish,,
2258855,spanish,,
2258856,spanish,,
2258859,spanish,,
2263568,spanish,,
2276149,spanish,,
2286425,spanish,,
2298308,spanish,,
2302507,spanish,,
2309385,,,
2317848,spanish,,
2332642,spanish,,
2339406,chinese,,
2348252,spanish,,
2348260,spanish,,
2355147,chinese,,
2357415,spanish,,
2370636,spanish,,
2378491,spanish,,
2384962,chinese,,
2396291,chinese,,
2417754,spanish,,
2418868,spanish,,
2434096,spanish,,
2434849,spanish,,
2438659,,,
2447112,chinese,,
2453247,chinese,,
2468951,spanish,,
2472263,spanish,,
2482276,spanish,,
2482277,spanish,,
2482281,spanish,,
2485046,spanish,,
2502622,spanish,,
2503162,chinese,,
2506738,,,
2506909,spanish,,
2515840,spanish,,
2515842,spanish,,
2517646,spanish,,
2527298,spanish,,
2527300,spanish,,
2540593,spanish,,
2540594,spanish,,
2540596,spanish,,
2543110,spanish,,
2543112,spanish,,
2549831,spanish,,
2554473,spanish,,
2556748,spanish,,
2559823,spanish,,
2559824,spanish,,
2559825,spanish,,
2559828,spanish,,
2570413,chinese,,
2585142,spanish,,
2585146,spanish,,
2588805,spanish,,
2606350,spanish,,
2619434,spanish,,
2619772,spanish,,
2648041,spanish,,
2648042,spanish,,
2661372,chinese,,
2663644,chinese,,
2664225,,,
2667220,spanish,,
2684426,chinese,,
2689625,spanish,,
2690111,chinese,,
2690967,spanish,,
2690968,spanish,,
2690970,spanish,,
2690971,spanish,,
2722440,spanish,,
2748942,spanish,,
2752808,spanish,,
2756581,,,
2759329,chinese,,
2761078,chinese,,
2762115,chinese,,
2770277,spanish,,
2779899,chinese,,
2780984,chinese,,
2789986,spanish,,
2798555,spanish,,
2801284,,,
2805528,,,
2816376,,,
2824135,spanish,,
2827052,chinese,,
2841387,spanish,,
2843672,spanish,,
2843675,spanish,,
2844214,spanish,,
2844217,spanish,,
2849057,,,
2859673,chinese,,
2862050,spanish,,
2876710,spanish,,
2877264,spanish,,
2878392,spanish,,
2880513,spanish,,
2884986,spanish,,
2884989,spanish,,
2884991,spanish,,
2891451,chinese,,
2891456,chinese,,
2891458,chinese,,
2900606,spanish,,
2904260,chinese,,
2904268,,,
2922062,chinese,,
2922174,chinese,,
2922702,chinese,,
2929034,chinese,,
2934424,spanish,,
2958424,spanish,,
2958426,spanish,,
2964260,chinese,,
2974482,spanish,,
2974484,,,
2983115,spanish,,
2985366,spanish,,
3000242,chinese,,
3014088,spanish,,
3015246,chinese,,
3035550,spanish,,
3037732,,,
3042944,spanish,,
3044048,spanish,,
3054739,spanish,,
3070290,spanish,,
3086338,chinese,,
3091376,chinese,,
3099498,chinese,,
3107090,spanish,,
3108093,spanish,,
3108095,spanish,,
3114247,chinese,,
3119324,spanish,,
3119325,spanish,,
3119515,chinese,,
3121116,chinese,,
3133429,spanish,,
3133430,spanish,,
3145808,spanish,,
3146696,chinese,,
3147746,chinese,,
3158221,chinese,,
3231374,chinese,,
3232624,spanish,,
3232625,chinese,,
3232626,spanish,,
3232958,spanish,,
3244234,spanish,,
3257522,chinese,,
3261558,spanish,,
3261561,spanish,,
3261563,spanish,,
3284412,spanish,,
3288894,spanish,,
3292008,spanish,,
3298057,spanish,,
3298659,chinese,,
3315289,spanish,,
3315936,chinese,,
3331193,spanish,,
3341099,spanish,,
3351490,chinese,,
3352308,spanish,,
3355357,spanish,,
3357500,spanish,,
3368646,spanish,,
3375937,spanish,,
3375943,,,
3405847,spanish,,
3423978,chinese,,
3424607,spanish,,
3427766,spanish,,
3428904,spanish,,
3439578,spanish,,
3445675,spanish,,
3446872,chinese,,
3478025,spanish,,
3484219,spanish,,
3486993,spanish,,
3486997,spanish,,
3491851,spanish,,
3492078,,,
3492079,spanish,,
3492080,chinese,,
3492085,spanish,,
3492086,spanish,,
3492087,spanish,,
3494558,spanish,,
3517281,chinese,,
3517564,spanish,,
3527470,chinese,,
3547978,,,
3547979,,,
3565714,,,
3571738,spanish,,
3572523,chinese,,
3584763,spanish,,
3584767,spanish,,
3592878,chinese,,
3596376,spanish,,
3596383,spanish,,
3600864,spanish,,
3625095,chinese,,
3627512,spanish,,
3639919,spanish,,
3646554,chinese,,
3646556,spanish,,
3651902,spanish,,
3667491,spanish,,
3671951,chinese,,
3702510,spanish,,
3713526,spanish,,
3720808,chinese,,
3724900,spanish,,
3745290,spanish,,
3745853,spanish,,
3752559,spanish,,
3752831,spanish,,
3767098,chinese,,
3771020,,,
3782789,spanish,,
3783458,spanish,,
3788429,spanish,,
3802452,spanish,,
3804939,,,
3811867,chinese,,
3811868,spanish,,
3811869,chinese,,
3815040,spanish,,
3815041,spanish,,
3815044,spanish,,
3815128,spanish,,
3847946,spanish,,
3851428,spanish,,
3859979,chinese,,
3859981,spanish,,
3863729,chinese,,
3864453,,,
3864457,spanish,,
3864458,spanish,,
3882238,chinese,,
3889323,chinese,,
3896940,chinese,,
3901598,chinese,,
3907338,spanish,,
3916480,spanish,,
3916485,spanish,,
3918786,spanish,,
3937056,spanish,,
3945369,spanish,,
3962639,chinese,,
3979161,,,
3979165,spanish,,
4009962,spanish,,
4026596,spanish,,
4035597,chinese,,
4044495,,,
4044895,chinese,,
4044899,chinese,,
4053942,spanish,,
4055234,chinese,,
4055758,chinese,,
4075070,spanish,,
4075458,spanish,,
4078246,,,
4078248,spanish,,
4088844,chinese,,
4121576,chinese,,
4135638,chinese,,
4159708,spanish,,
4180020,spanish,,
4182080,,,
4189443,spanish,,
4189449,spanish,,
4194426,spanish,,
4194431,spanish,,
4202292,spanish,,
4207450,spanish,,
4207454,spanish,,
4215800,chinese,,
4215804,chinese,,
4215807,chinese,,
4225908,spanish,,
4231482,spanish,,
4235202,spanish,,
4235204,spanish,,
4235714,spanish,,
4248821,chinese,,
4256816,spanish,,
4258391,spanish,,
4279518,spanish,,
4281487,chinese,,
4285216,spanish,,
4290383,spanish,,
4295733,spanish,,
4309767,spanish,,
4326788,spanish,,
4334697,spanish,,
4334704,spanish,,
4348137,spanish,,
4350821,spanish,,
4363490,chinese,,
4363965,spanish,,
4365669,spanish,,
4366024,chinese,,
4367541,chinese,,
4371447,spanish,,
4373354,chinese,,
4382777,,,
4382778,spanish,,
4384662,spanish,,
4392333,chinese,,
4392336,,,
4393483,spanish,,
4404141,spanish,,
4404143,spanish,,
4411837,spanish,,
4417071,spanish,,
4433288,spanish,,
4434874,spanish,,
4446553,spanish,,
4446557,spanish,,
4458931,,,
4459107,spanish,,
4464087,,,
4465876,chinese,,
4465879,spanish,,
4467382,spanish,,
4479717,spanish,,
4485132,spanish,,
4491271,spanish,,
4495110,spanish,,
4495111,spanish,,
4497439,spanish,,
4503651,spanish,,
4507281,spanish,,
4511659,spanish,,
4511662,spanish,,
4511663,spanish,,
4533390,chinese,,
4543609,spanish,,
4543611,chinese,,
4561992,spanish,,
4570809,spanish,,
4579478,chinese,,
4580418,chinese,,
4581082,spanish,,
4582343,chinese,,
4588762,chinese,,
4594061,spanish,,
4598832,,,
4598835,chinese,,
4599604,spanish,,
4601767,chinese,,
4610086,spanish,,
4616449,spanish,,
4621267,spanish,,
4621270,spanish,,
4629439,spanish,,
4634932,chinese,,
4651285,chinese,,
4656349,chinese,,
4669442,chinese,,
4669835,spanish,,
4673419,spanish,,
4676081,spanish,,
4676086,spanish,,
4678960,chinese,,
4682133,chinese,,
4689812,chinese,,
4707674,spanish,,
4738242,spanish,,
4738244,spanish,,
4738387,spanish,,
4750836,spanish,,
4764891,spanish,,
4772246,spanish,,
4775268,spanish,,
4794448,chinese,,
4796297,chinese,,
4800871,chinese,,
4814414,spanish,,
4816321,spanish,,
4823511,,,
4824789,spanish,,
4840448,spanish,,
4848642,chinese,,
4851890,spanish,,
4854673,spanish,,
4876625,spanish,,
4881585,spanish,,
4883858,spanish,,
4883862,spanish,,
4889649,spanish,,
4923688,chinese,,
4931959,chinese,,
4935401,chinese,,
4942753,spanish,,
4942756,spanish,,
4944457,,,
4945813,spanish,,
4946642,spanish,,
4947706,spanish,,
4950780,spanish,,
4950787,spanish,,
4950788,spanish,,
4959254,chinese,,
4970549,spanish,,
4972423,spanish,,
4989574,chinese,,
4991709,spanish,,
4992107,chinese,,
4993755,spanish,,
4998756,spanish,,
5020863,spanish,,
5025392,spanish,,
5030425,spanish,,
5041817,chinese,,
5057829,spanish,,
5057832,spanish,,
5069081,chinese,,
5069084,chinese,,
5070206,,,
5070210,,,
5077265,spanish,,
5089370,spanish,,
5098254,chinese,,
5111824,spanish,,
5117930,spanish,,
5124821,spanish,,
5144186,spanish,,
5149352,spanish,,
5149355,spanish,,
5149359,spanish,,
5154594,spanish,,
5154595,spanish,,
5157367,chinese,,
5190617,chinese,,
5195863,spanish,,
5203584,spanish,,
5203586,spanish,,
5207147,spanish,,
5219520,,,
5233348,chinese,,
5233616,spanish,,
5249401,spanish,,
5277743,spanish,,
5280998,chinese,,
5285620,spanish,,
5296288,spanish,,
5296490,chinese,,
5297238,spanish,,
5299720,chinese,,
5299725,chinese,,
5299726,chinese,,
5299728,chinese,,
5303517,chinese,,
5325719,spanish,,
5328321,spanish,,
5328324,spanish,,
5337301,chinese,,
5344021,spanish,,
5348701,spanish,,
5373161,chinese,,
5373501,spanish,,
5390841,chinese,,
5390960,spanish,,
5393587,,,
5399272,spanish,,
5399273,spanish,,
5411191,spanish,,
5421091,spanish,,
5428264,chinese,,
5434856,spanish,,
5434859,spanish,,
5434861,,,
5440732,spanish,,
5440734,spanish,,
5443861,spanish,,
5444779,spanish,,
5444788,spanish,,
5458195,spanish,,
5458994,chinese,,
5465936,chinese,,
5472505,chinese,,
5474986,spanish,,
5494425,chinese,,
5497554,spanish,,
5497558,spanish,,
5506817,chinese,,
5506821,spanish,,
5545614,chinese,,
5587295,chinese,,
5611971,spanish,,
5612270,spanish,,
5624127,spanish,,
5626407,spanish,,
5645159,spanish,,
5655234,spanish,,
5656043,spanish,,
5659376,chinese,,
5662281,spanish,,
5699467,chinese,,
5710243,chinese,,
5756770,spanish,,
5770368,chinese,,
5776202,spanish,,
5799367,spanish,,
5816714,spanish,,
5816715,spanish,,
5824453,spanish,,
5824454,spanish,,
5824768,spanish,,
5825000,spanish,,
5830103,spanish,,
5847950,spanish,,
5864827,chinese,,
5872387,chinese,,
5874334,spanish,,
5878929,chinese,,
5887300,chinese,,
5888367,spanish,,
5899232,chinese,,
5899742,,,
5906942,chinese,,
5908974,spanish,,
5917385,spanish,,
5917386,spanish,,
5921505,chinese,,
5951081,chinese,,
5951082,chinese,,
5951083,chinese,,
5951085,chinese,,
5951087,chinese,,
5959433,spanish,,
5969052,spanish,,
5971197,spanish,,
5971881,spanish,,
5972144,chinese,,
5975814,chinese,,
6000319,,,
6002960,chinese,,
6009056,spanish,,
6009057,chinese,,
6009058,chinese,,
6031002,spanish,,
6032333,spanish,,
6036774,spanish,,
6036780,spanish,,
6037886,chinese,,
6057028,spanish,,
6057237,chinese,,
6062645,spanish,,
6076515,chinese,,
6086541,spanish,,
6086584,spanish,,
6086587,spanish,,
6090974,spanish,,
6092292,spanish,,
6092294,spanish,,
6097552,spanish,,
6105285,spanish,,
6106492,spanish,,
6107561,spanish,,
6109619,spanish,,
6116933,chinese,,
6117563,spanish,,
6117565,spanish,,
6128423,spanish,,
6131404,spanish,,
6132398,spanish,,
6135725,spanish,,
6156417,chinese,,
6158223,spanish,,
6184388,spanish,,
6192355,chinese,,
6193542,spanish,,
6193543,spanish,,
6210812,spanish,,
6214035,spanish,,
6222841,spanish,,
6226301,spanish,,
6234661,spanish,,
6238863,spanish,,
6241481,spanish,,
6251286,spanish,,
6263823,spanish,,
6281832,spanish,,
6281835,spanish,,
6294470,spanish,,
6306897,spanish,,
6324429,chinese,,
6335306,spanish,,
6335308,spanish,,
6335417,spanish,,
6336852,spanish,,
6337394,spanish,,
6337395,spanish,,
6360270,chinese,,
6363164,spanish,,
6385227,chinese,,
6399287,spanish,,
6404300,spanish,,
6405324,spanish,,
6437372,spanish,,
6448659,spanish,,
6448778,spanish,,
6458017,chinese,,
6458878,spanish,,
6458883,spanish,,
6460168,spanish,,
6470452,chinese,,
6488850,chinese,,
6512577,spanish,,
6512578,spanish,,
6512579,spanish,,
6512583,spanish,,
6521193,spanish,,
6533023,spanish,,
6534733,spanish,,
6534734,spanish,,
6537778,spanish,,
6537779,spanish,,
6543231,spanish,,
6544755,spanish,,
6577772,spanish,,
6581182,spanish,,
6584743,chinese,,
6600140,spanish,,
6601082,spanish,,
6615044,chinese,,
6624996,chinese,,
6652351,spanish,,
6660330,chinese,,
6661369,spanish,,
6665386,spanish,,
6665389,spanish,,
6672588,spanish,,
6679429,spanish,,
6679681,chinese,,
6692703,chinese,,
6696146,spanish,,
6710993,chinese,,
6714498,chinese,,
6768676,spanish,,
6772311,chinese,,
6772314,chinese,,
6788692,spanish,,
6790587,spanish,,
6815700,spanish,,
6818994,spanish,,
6822055,spanish,,
6822056,spanish,,
6831286,spanish,,
6846332,spanish,,
6854481,chinese,,
6855523,spanish,,
6888316,spanish,,
6937509,chinese,,
6946397,chinese,,
6946413,,,
6947957,chinese,,
6963266,spanish,,
6965339,spanish,,
6995377,,,
6995380,spanish,,
7011723,spanish,,
7011727,spanish,,
7013881,spanish,,
7024589,spanish,,
7026767,chinese,,
7037341,spanish,,
7044752,chinese,,
7046582,chinese,,
7046586,spanish,,
7054065,,,
7068210,spanish,,
7073211,spanish,,
7073215,spanish,,
7073683,spanish,,
7081591,spanish,,
7081592,spanish,,
7081593,,,
7081594,spanish,,
7081597,spanish,,
7081598,chinese,,
7081599,spanish,,
7081759,chinese,,
7096687,chinese,,
7098048,spanish,,
7098399,spanish,,
7099434,spanish,,
7099966,spanish,,
7099969,spanish,,
7099971,spanish,,
7099973,spanish,,
7105044,spanish,,
7107592,chinese,,
7107986,spanish,,
7107989,spanish,,
7108025,spanish,,
7108026,spanish,,
7108029,spanish,,
7109165,spanish,,
7111627,spanish,,
7116149,chinese,,
7119970,spanish,,
7119984,spanish,,
7119989,chinese,,
7126112,spanish,,
7128276,spanish,,
7133476,spanish,,
7136414,spanish,,
7144198,chinese,,
7144199,chinese,,
7144201,spanish,,
7144202,spanish,,
7144204,spanish,,
7144205,chinese,,
7144206,,,
7147611,spanish,,
7163361,spanish,,
7163362,chinese,,
7163363,,,
7163368,spanish,,
7163369,spanish,,
7163370,spanish,,
7164749,chinese,,
7166520,spanish,,
7166521,spanish,,
7166524,spanish,,
7166525,spanish,,
7166526,spanish,,
7166527,spanish,,
7166528,spanish,,
7169717,chinese,,
7186517,spanish,,
7207097,spanish,,
7207104,spanish,,
7208363,spanish,,
7208366,,,
7209809,chinese,,
7211852,spanish,,
7211854,spanish,,
7212425,spanish,,
7212426,chinese,,
7212427,chinese,,
7212429,chinese,,
7212430,spanish,,
7212432,chinese,,
7212433,chinese,,
7212434,chinese,,
7214857,spanish,,
7214859,spanish,,
7214860,chinese,,
7214861,spanish,,
7214862,spanish,,
7217960,spanish,,
7231344,chinese,,
7231345,spanish,,
7231347,,,
7231348,chinese,,
7249899,,,
7251121,spanish,,
7253932,spanish,,
7254366,spanish,,
7254367,spanish,,
7254368,spanish,,
7254370,,,
7254375,spanish,,
7255221,spanish,,
7256200,chinese,,
7256201,spanish,,
7256203,spanish,,
7256204,spanish,,
7256206,spanish,,
7259811,spanish,,
7259813,spanish,,
7259815,spanish,,
7259816,spanish,,
7259822,spanish,,
7260301,spanish,,
7260306,spanish,,
7260308,spanish,,
7260322,spanish,,
7260335,spanish,,
7260659,spanish,,
7260660,spanish,,
7260665,spanish,,
7260912,spanish,,
7262314,,,
7262315,spanish,,
7262317,chinese,,
7262321,spanish,,
7262323,spanish,,
7262611,spanish,,
7262614,spanish,,
7262862,spanish,,
7262863,,,
7262866,spanish,,
7262867,spanish,,
7262868,spanish,,
7262869,,,
7262870,spanish,,
7264024,chinese,,
7264031,spanish,,
7264254,spanish,,
7264265,chinese,,
7264267,chinese,,
7268433,spanish,,
7268434,spanish,,
7268435,chinese,,
7268439,spanish,,
7268442,chinese,,
7269086,spanish,,
7269087,spanish,,
7272811,spanish,,
7273755,spanish,,
7276263,,,
7279834,spanish,,
7287454,spanish,,
7290527,spanish,,
7290529,,,
7295782,spanish,,
7295784,spanish,,
7315531,spanish,,
7324166,chinese,,
7324167,spanish,,
7324168,chinese,,
7324169,,,
7324855,chinese,,
7326593,,,
7326596,spanish,,
7326600,,,
7328309,spanish,,
7330705,spanish,,
7330706,spanish,,
7330707,spanish,,
7330708,,,
7336477,spanish,,
7336478,spanish,,
7336482,,,
7336484,spanish,,
7347871,chinese,,
7351093,spanish,,
7365317,chinese,,
7368810,spanish,,
7369081,spanish,,
7369084,spanish,,
7373639,spanish,,
7376532,spanish,,
7377305,chinese,,
7377307,chinese,,
7377310,chinese,,
7377664,chinese,,
7377854,,,
7377855,spanish,,
7377856,spanish,,
7377858,spanish,,
7377859,spanish,,
7377860,spanish,,
7379133,spanish,,
7379135,spanish,,
7379136,spanish,,
7379137,chinese,,
7379140,chinese,,
7380179,spanish,,
7386276,chinese,,
7386277,spanish,,
7387291,spanish,,
7388762,spanish,,
7392254,,,
7392256,spanish,,
7392258,,,
7392262,,,
7395234,spanish,,
7401606,spanish,,
7403713,spanish,,
7403718,,,
7403720,,,
7403722,spanish,,
7404304,chinese,,
7405602,spanish,,
7405708,spanish,,
7415333,spanish,,
7415336,,,
7415337,,,
7415339,spanish,,
7415340,spanish,,
7416971,spanish,,
7416972,spanish,,
7416973,spanish,,
7416974,spanish,,
7416976,spanish,,
7416978,,,
7421094,spanish,,
7421278,,,
7427074,spanish,,
7428613,spanish,,
7431838,,,
7432439,chinese,,
7432440,chinese,,
7432445,spanish,,
7432447,spanish,,
7434028,spanish,,
7434029,spanish,,
7434035,,,
7434036,spanish,,
7441029,spanish,,
7444061,spanish,,
7444062,spanish,,
7444065,spanish,,
7444068,spanish,,
7447712,spanish,,
7452001,spanish,,
7452003,spanish,,
7466189,,,
7466196,spanish,,
7469143,spanish,,
7473305,spanish,,
7482209,chinese,,
7483828,spanish,,
7509642,spanish,,
7510385,chinese,,
7510491,,,
7543898,spanish,,
7543899,spanish,,
7543904,spanish,,
7549962,spanish,,
7556946,chinese,,
7563659,chinese,,
7563663,chinese,,
7570850,spanish,,
7570852,spanish,,
7570853,spanish,,
7572494,spanish,,
7574541,,,
7576550,chinese,,
7581557,spanish,,
7582710,spanish,,
7585034,spanish,,
7587936,spanish,,
7587938,chinese,,
7595979,spanish,,
7595982,spanish,,
7595983,spanish,,
7595984,spanish,,
7598408,chinese,,
7603169,spanish,,
7603500,spanish,,
7603869,spanish,,
7603870,,,
7603871,,,
7603873,,,
7603876,spanish,,
7603877,spanish,,
7613712,spanish,,
7613715,spanish,,
7615848,spanish,,
7618701,chinese,,
7627398,spanish,,
7640834,chinese,,
7650075,spanish,,
7650077,chinese,,
7651470,spanish,,
7659709,spanish,,
7659710,spanish,,
7659712,spanish,,
7674927,spanish,,
7684538,chinese,,
7684964,spanish,,
7686872,spanish,,
7692283,spanish,,
7692287,spanish,,
7694636,chinese,,
7696607,spanish,,
7702744,chinese,,
7713721,,,
7713722,chinese,,
7713723,chinese,,
7713725,spanish,,
7713726,chinese,,
7713728,chinese,,
7714026,chinese,,
7715455,spanish,,
7728908,spanish,,
7728910,chinese,,
7728914,chinese,,
7746627,spanish,,
7748425,,,
7748426,spanish,,
7748427,chinese,,
7748429,chinese,,
7748430,,,
7748431,chinese,,
7748432,chinese,,
7748433,chinese,,
7748966,spanish,,
7751968,spanish,,
7751969,spanish,,
7751972,spanish,,
7759130,spanish,,
7759999,spanish,,
7762176,spanish,,
7763891,,,
7763893,,,
7763895,spanish,,
7763896,,,
7766236,,,
7779125,spanish,,
7779126,spanish,,
7779128,spanish,,
7782675,spanish,,
7784076,chinese,,
7785764,chinese,,
7787669,spanish,,
7787672,spanish,,
7787674,spanish,,
7787994,,,
7800488,spanish,,
7803846,chinese,,
7803848,spanish,,
7803851,spanish,,
7804066,spanish,,
7805649,spanish,,
7809192,spanish,,
7809213,,,
7811374,spanish,,
7811377,spanish,,
7811378,spanish,,
7811379,spanish,,
7811381,spanish,,
7811382,spanish,,
7812736,,,
7817507,spanish,,
7821992,spanish,,
7822456,chinese,,
7825369,spanish,,
7825370,spanish,,
7825371,spanish,,
7825374,spanish,,
7825377,spanish,,
7829355,spanish,,
7830076,spanish,,
7830080,,,
7839648,spanish,,
7854324,chinese,,
7867845,spanish,,
7867848,spanish,,
7867851,spanish,,
7867852,spanish,,
7867853,,,
7869033,spanish,,
7869439,spanish,,
7869446,,,
7869800,spanish,,
7869802,chinese,,
7869805,,,
7869806,spanish,,
7869808,spanish,,
7870034,spanish,,
7881044,chinese,,
7884343,spanish,,
7884345,spanish,,
7888044,spanish,,
7901925,,,
7901929,spanish,,
7901930,spanish,,
7908507,spanish,,
7908509,,,
7908512,spanish,,
7908513,spanish,,
7908514,spanish,,
7909656,spanish,,
7915783,spanish,,
7915785,spanish,,
7915790,spanish,,
7916825,spanish,,
7917423,chinese,,
7917808,spanish,,
7917811,spanish,,
7918883,spanish,,
7922453,chinese,,
7923318,chinese,,
7926667,,,
7926668,chinese,,
7927875,spanish,,
7931445,spanish,,
7932929,spanish,,
7932934,spanish,,
7936840,spanish,,
7955729,spanish,,
7961622,,,
7961623,chinese,,
7961624,,,
7962385,spanish,,
7962386,spanish,,
7962389,spanish,,
7979105,spanish,,
7979107,spanish,,
7994027,spanish,,
7994324,spanish,,
7994327,spanish,,
8000825,spanish,,
8007334,spanish,,
8007335,spanish,,
8007336,spanish,,
8007338,spanish,,
8007339,spanish,,
8007341,spanish,,
8007342,spanish,,
8007343,spanish,,
8029604,spanish,,
8044000,spanish,,
8061386,chinese,,
8073949,chinese,,
8096917,chinese,,
8141376,spanish,,
8141378,spanish,,
8143102,spanish,,
8144992,chinese,,
8151158,spanish,,
8151286,chinese,,
8167729,chinese,,
8168873,spanish,,
8196725,,,
8199430,spanish,,
8199431,chinese,,
8199433,spanish,,
8207506,spanish,,
8215471,,,
8222867,spanish,,
8227807,chinese,,
8240629,spanish,,
8240636,chinese,,
8244552,chinese,,
8245893,spanish,,
8245898,spanish,,
8248530,spanish,,
8259389,chinese,,
8272204,chinese,,
8286326,chinese,,
8291161,chinese,,
8298052,chinese,,
8304285,spanish,,
8318451,spanish,,
8329700,spanish,,
8334686,spanish,,
8337745,spanish,,
8346103,chinese,,
8351217,chinese,,
8359835,chinese,,
8363050,spanish,,
8378975,spanish,,
8388493,spanish,,
8392759,spanish,,
8402234,spanish,,
8437347,chinese,,
8442083,spanish,,
8448677,chinese,,
8452418,spanish,,
8453620,chinese,,
8461985,spanish,,
8464344,chinese,,
8470877,spanish,,
8477430,spanish,,
8485341,chinese,,
8489728,spanish,,
8489729,spanish,,
8515242,spanish,,
8519849,spanish,,
8519943,,,
8519946,,,
8519947,chinese,,
8532608,spanish,,
8552590,spanish,,
8573834,spanish,,
8578284,spanish,,
8578291,chinese,,
8582421,spanish,,
8582425,spanish,,
8589436,spanish,,
